story_id,company_name,industry_1,industry_2,industry_3
insight_39,"Wrightington, Wigan and Leigh (WWL) NHS Foundation Trust",hospitals and health care,"technology, information and internet",information technology & services
insight_40,Novartis,healthcare,pharmaceuticals,medical research
insight_41,Novo Nordisk,pharmaceutical,healthcare,biotechnology
insight_42,Phoenix LV,transportation,logistics,medical
insight_43,Catalyst BI,hospitals and health care,business consulting and services,"technology, information and internet"
insight_44,DAC Group,Advertising Services,Business Consulting and Services,IT Services and IT Consulting
insight_45,CNHi,construction,capital goods,agricultural equipment
insight_46,Hermes Arzneimittel Holding GmbH,pharmaceutical,medical,healthcare
insight_47,Crider Foods,food and beverage services,manufacturing,business consulting and services
insight_48,Schindler,construction,"technology, information and internet",manufacturing
insight_49,CONTEXT,"Technology, Information and Internet",Business Consulting and Services,Software Development
insight_50,Vodafone,Telecommunications,Mobile Communications,IT Services
insight_51,Prorail,construction,"technology, information and internet",business consulting and services
insight_52,JBS,food and beverage services,agriculture,manufacturing
insight_53,Thomas Wellness Group,wellness,fitness services,health care
insight_54,Grafix Plastics,Industrial,Manufacturing,Plastic Film and Sheet
insight_55,"Cummins, Inc.",manufacturing,energy,construction
insight_56,Eastern Shires Purchasing Organisation (ESPO),Distribution,Business Consulting and Services,Professional Training and Coaching
insight_57,Axminster Tools & Machinery,retail,distribution,business services
insight_58,MarketLab,retail,"technology, information and internet",business consulting and services
insight_59,,o,t,h
insight_60,Southco,manufacturing,financial services,technology
insight_61,Catalyst Paper Corporation,paper,manufacturing,forest products
insight_62,Avon Products Inc,retail,business consulting and services,advertising services
insight_63,Databricks,Information Technology,Software Development,"Technology, Information and Internet"
insight_64,,o,t,h
insight_65,,o,t,h
insight_66,,Business Intelligence,Software Development,
insight_67,,o,t,h
insight_68,George Khatcherian,chemical,manufacturing,pharmacy
insight_69,Fender,Entertainment,"Technology, Information and Internet",Manufacturing
insight_70,Datalogic,Manufacturing,"Technology, Information and Internet",Retail
insight_71,Power Equipment Company,Wholesale,Construction,Manufacturing
insight_72,Concur,Business Consulting and Services,Software Development,Financial Services
insight_73,Allied,software development,"technology, information and internet",business consulting and services
insight_74,Magnitude,hospitals and health care,"technology, information and internet",business consulting and services
insight_75,"ForgeRock, Inc.",software development,"technology, information and internet",information technology & services
insight_76,Magnitude,hospitals and health care,software development,"technology, information and internet"
insight_77,Sisense,Technology,Software Development,Business Intelligence
insight_78,Global provider of enterprise analytics and mobility software,Business Intelligence,"Technology, Information and Internet",Software Development
insight_79,Magnitude,Business Intelligence,Software Development,"Technology, Information and Internet"
insight_80,tgestiona,Business Consulting and Services,Information Technology & Services,Financial Services
insight_81,Kimball Office,Furniture,Design,Manufacturing
insight_82,Morgan Foods,Food and Beverage Services,Manufacturing,Private Label Soup Manufacturer
insight_83,HELLA,Automotive,Manufacturing,Logistics and Supply Chain
insight_84,Zebra Technologies Corporation,Manufacturing,"Technology, Information and Internet",Industrial Machinery Manufacturing
insight_85,"Qualcomm, Incorporated","Technology, Information and Internet",Software Development,Mobile Devices
insight_86,Graybar,construction,supply chain management,industrial
insight_87,RStudio,software development,business consulting and services,"technology, information and internet"
insight_88,Galvanize,GRC Software Solutions,Risk Management,Compliance
insight_89,Trinity Industries,transportation,industrial,construction
insight_90,CHAT BOARD,Design Services,Manufacturing,Consumer Goods
insight_91,Van Hessen,food processing,natural casings and meat products,manufacturing
insight_92,Associated Battery Manufacturers (ABM),Manufacturing,Energy,Electronics
insight_93,Zip,Financial Services,"Technology, Information and Internet",Business Consulting and Services
insight_94,daa,financial services,transportation,construction
insight_95,Rendine Constructions,construction,civil construction builder,engineering
insight_96,Levoplant,other,agriculture,floriculture
insight_97,kolb Cleaning Technology GmbH,Manufacturing,Electronics,Chemicals
insight_98,Aramark Uniform Services,hospitals and health care,food and beverage services,facilities services
insight_99,Haven Home Safe,non-profit organizations,healthcare,housing
insight_100,Amplion Clinical Communications,Business Consulting and Services,"Technology, Information and Internet",Software Development
insight_101,Fonden Mariehjemmene,non-profit,healthcare,social services
insight_102,Vanderlande,Logistics,Transportation,Manufacturing
insight_103,Heineken Group,beverage,food and beverage services,consumer services
insight_104,Blood Centers of America (BCA),Hospitals and Health Care,"Technology, Information, and Internet",Medical Practices
insight_105,PRÜFTECHNIK,Industrial Machinery Manufacturing,Manufacturing,"Technology, Information and Internet"
insight_106,McCorkle Nurseries,Nursery and Greenhouse,Retail,Wholesale
insight_107,Absorb Software,Software Development,Business Consulting and Services,Learning Management System (LMS)
insight_108,CyberMaxx,hospitals and health care,"technology, information and internet",business consulting and services
insight_109,Lima Memorial Hospital,Hospitals and Health Care,Medical Practices,Healthcare
insight_110,Boston College University Libraries,higher education,education administration programs,non-profit organizations
insight_111,Pathway Chicken,Food and Beverage Manufacturing,Manufacturing,Business Consulting and Services
insight_112,Origami Risk,insurance,risk management,software development
insight_113,Hastings Group,Financial Services,Insurance,Consumer Goods
insight_114,Northeast Ohio Regional Sewer District,Environmental Services,Public Utilities,Government
insight_115,Xref,Software Development,Financial Services,Business Consulting and Services
insight_116,Celanese,chemicals,materials,manufacturing
insight_117,Truckee Donner Public Utility District,Public Utilities,Electricity and Water Services,Non-Profit
insight_118,SSB Consulting,business consulting and services,software development,"technology, information and internet"
insight_119,Youmanage,software development,business consulting and services,human resources services
insight_120,Symbox,Business Consulting and Services,"Technology, Information and Internet",Software Development
insight_121,Citycounty Insurance Services (CIS),Insurance,Government,Financial Services
insight_122,TTI,"Appliances, Electrical, and Electronics Manufacturing",Home Improvement,Construction
insight_123,Nordr,real estate,construction,business consulting and services
insight_124,Hermadix,Horticultural,Chemical,Manufacturing
insight_125,Cromology,paint manufacturing,decorative painting,chemical manufacturing
insight_126,Senior,aerospace & defence,land vehicle,power & energy
insight_127,Eichenauer Services Inc.,Food and Beverage Services,Commercial Kitchen Maintenance,Facilities Services
insight_128,Société Bic,consumer goods,manufacturing,stationery
insight_129,"Leading US-based, global manufacturer",Manufacturing,Financial Services,Business Consulting and Services
insight_130,Discovery Inc.,multimedia entertainment,media production,entertainment providers
insight_131,Party Rent Group,events services,business consulting and services,advertising services
insight_132,EEW Malaysia,oil and gas,manufacturing,engineering
insight_133,Symrise,chemical manufacturing,flavorings and fragrance,other
insight_134,The Rathgeber Group,Commercial Labeling Solutions,Custom- Made Commercial and Technical Labelling,Printing Services
insight_135,Femat,construction,industrial machinery manufacturing,manufacturing
insight_136,Värmevärden/Adven,energy services,renewable energy,industrial energy
insight_137,Speedy Services,construction,it services and it consulting,business consulting and services
insight_138,WebSan Solutions Inc.,IT Services and IT Consulting,Software Development,Information Technology & Services
insight_139,Seqens,Financial Services,Business Consulting and Services,Other
insight_140,Seqens Group,software development,financial services,business consulting and services
insight_141,PMU,https://www.yourdictionary.com/accounting,financial services,software development
insight_142,Neoen,energy,renewable energy,infrastructure
insight_143,France Air,financial services,software development,airline
insight_144,Astek Group,IT Services and IT Consulting,Construction,Other
insight_145,CBC/Radio-Canada,financial services,media production,non-profit organizations
insight_146,IMI,IT Services,Business Consulting and Services,Financial Services
insight_147,Rotork,construction,financial services,other
insight_148,Primonial Group,Financial Services,Business Consulting and Services,Accounting
insight_149,Unknown,Financial Services,Business Consulting and Services,Accounting
insight_150,KP1,Financial Services,Business Consulting and Services,Other
insight_151,Clarins,beauty,cosmetics,personal care
insight_152,BDC,financial services,banking,financial institutions
insight_153,5àsec group,Business Consulting and Services,Financial Services,"Technology, Information and Internet"
insight_154,OUTsurance,financial services,insurance,short-term insurance market
insight_155,Bauer Group,construction,software development,industrial machinery manufacturing
insight_156,EURONICS Deutschland eG,consumer services,retail,electrical and electronics manufacturing
insight_157,ElringKlinger,Automotive,Manufacturing,Software Development
insight_158,Caymas Boats,Manufacturing,Boating and Marine,Consumer Goods
insight_159,Howard Hughes Corporation,real estate,construction,business consulting and services
insight_160,Investor AB,financial services,business consulting and services,software development
insight_161,Worldwide Facilities,insurance,financial services,business consulting and services
insight_162,Quint,IT Services and IT Consulting,Software Development,Consulting Services
insight_163,WeCare Holding,health care,medical practices,hospitals and health care
insight_164,American Asset Corporation,real estate,construction,financial services
insight_165,Farmington Electric Utility System,financial services,energy and utilities,utilities
insight_166,London Internet Exchange (LINX),"technology, information and internet",non-profit organizations,internet
insight_167,Carlsberg,financial services,brewing,manufacturing
insight_168,BSK Associates,construction,business consulting and services,consulting engineering and analytical testing
insight_169,"Lavery, de Billy, L.L.P.",business consulting and services,law practice,legal services
insight_170,AltaGas Ltd.,energy,oil_and_gas,infrastructure
insight_171,LV=,financial services,insurance,other
insight_172,LifePoint Health,hospitals and health care,financial services,"technology, information and internet"
insight_173,Folksam,financial services,insurance,software development
insight_174,EnterCard,financial services,banking,credit provider
insight_175,DRDGOLD,"['Mining', 0.7]","['Financial Services', 0.3]",['Other']
insight_176,A drive for efficiency,real estate,financial services,technology
insight_177,Linamar,manufacturing,financial services,other
insight_178,Nutrien Inc.,financial services,agriculture,chemical manufacturing
insight_179,"Financial Intelligence, LLC",financial services,business consulting and services,accounting
insight_180,Public Company,Financial Services,Software Development,Business Consulting and Services
insight_181,A global internet powerhouse,technology,information technology & services,financial services
insight_182,Atlantic Capital Bank,Financial Services,Banking,Financial
insight_183,VAALCO,Oil and Gas,Financial Services,Energy
insight_184,NGL Energy Partners,energy,financial services,oil and gas
insight_185,"International Seaways, Inc.",financial services,"transportation, logistics, supply chain and storage",construction
insight_186,Optimus Business Transformation,business consulting and services,it services and it consulting,software development
insight_187,MTN Congo,Financial Services,Telecommunications,"Technology, Information and Internet"
insight_188,PRA Health Sciences,hospitals and health care,financial services,software development
insight_189,Renaissance Learning,software development,education administration programs,business consulting and services
insight_190,,o,t,h
insight_191,Custom Goods,Third-Party Logistics,Business Intelligence,Supply Chain
insight_192,IXYS UK Westcode,Power Semiconductors,Electronics,Technology
insight_193,Midwest Property Management,real estate,business consulting and services,financial services
insight_194,"WEC Energy Group, Inc.",energy supply,services,utilities
insight_195,,o,t,h
insight_196,Sandy Spring Bank,financial services,banking,insurance
insight_197,RSA Canada,financial services,insurance,professional training and coaching
insight_198,ParkOhio,industrial machinery manufacturing,manufacturing,"transportation, logistics, supply chain and storage"
insight_199,Longview Software and Service Solutions,Business Consulting and Services,Software Development,"Technology, Information and Internet"
insight_200,Longview Software and Service Solutions,financial services,software development,business consulting and services
insight_201,,o,t,h
insight_202,HD Supply Support Services,construction,business consulting and services,software development
insight_203,Generac,Power Generation,Electrical Equipment,Manufacturing
insight_204,GATX,Construction,Financial Services,Transportation
insight_205,Energir,energy,financial services,oil and gas
insight_206,Dallas/Fort Worth International Airport (DFW),Financial Services,Transportation and Logistics,Government Agency
insight_207,,o,t,h
insight_208,,o,t,h
insight_209,Dassault Aviation,Aerospace,Manufacturing,Technology
insight_210,,o,t,h
insight_211,,o,t,h
insight_212,,o,t,h
insight_213,,o,t,h
insight_214,,o,t,h
insight_215,,o,t,h
insight_216,,o,t,h
insight_217,,o,t,h
insight_218,,o,t,h
insight_219,,o,t,h
insight_220,,o,t,h
insight_221,,o,t,h
insight_222,Multiconsult,construction,business consulting and services,architecture and planning
insight_223,Stoltz Management,Real Estate,Construction,Business Consulting and Services
insight_224,Grilstad,Meat production,Food processing,Manufacturing
insight_225,NTHF (Norsk Tannhelseforsikring),insurance,financial services,healthcare
insight_226,OSM Maritime Group,marine,offshore,logistics
insight_227,Dalakraft,electrical,"technology, information and internet",manufacturing
insight_228,Coop Sørvest,Retail,Consumer Services,Business Consulting and Services
dash_1,PriceLabs,software development,business consulting and services,"technology, information and internet"
dash_2,Kansas City Chiefs,Sports,Entertainment Providers,Spectator Sports
dash_3,Equinor,oil_and_gas,energy,environmental_services
dash_4,Utah Jazz,Professional Sports,Spectator Sports,Business Consulting and Services
dash_5,Holmusk,hospitals and health care,"technology, information and internet",pharmaceutical
dash_6,Canadian Imperial Bank of Commerce (CIBC),financial services,banking,investment banking
dash_7,Intuit,financial services,software development,technology
dash_8,Plotly,software development,business consulting and services,"technology, information and internet"
dash_9,Denver Regional Transportation District (RTD),"transportation, logistics, supply chain and storage",public services,utilities
dash_10,Gamuda Berhad,construction,infrastructure,engineering
dash_11,Cox Automotive Manheim,software development,industrial engineering,advertising services
dash_12,Crant,Advertising Services,Software Development,Business Consulting and Services
dash_13,WPO (Wind Prospect Operations),Energy & Utilities,Renewable Energy,Sustainable Energy
dash_14,Gamma Technologies,Software Development,"Technology, Information and Internet",Engineering
dash_15,National Renewable Energy Laboratory (NREL),Renewable Energy,Software Development,Energy Efficiency
dash_16,Chesapeake Energy,oil_and_gas,energy,none_of_the_above
dash_17,Pairwise,Food Tech,"Technology, Information and Internet",Software Development
dash_18,Pharmaceutical Company,pharmaceutical,medical,healthcare
dash_19,Komatsu,Manufacturing,Construction,Mining
dash_20,Uniper,energy,oil_and_gas,financial_services
dash_21,Ningbo Institute for Supply Chain Innovation (NISCI),"transportation, logistics, supply chain and storage",,
dash_22,Plotly,software development,"technology, information and internet",business consulting and services
dash_23,Singapore Institute for Clinical Sciences (SICS),hospitals and health care,"technology, information and internet",non-profit organizations
dash_24,Sidmach Technologies,education,software development,it services and it consulting
knime_1,Alexion,hospitals and health care,"technology, information and internet",pharmaceuticals
knime_2,Alexion,"technology, information and internet",software development,pharmaceutical
knime_3,Allente,"Technology, Information and Internet",Information Technology & Services,Software Development
knime_4,Allente,"Technology, Information and Internet",Software Development,Advertising Services
knime_5,Anadolu Sigorta,financial services,insurance,"technology, information and internet"
knime_6,Anadolu Sigorta,insurance,financial services,"technology, information and internet"
knime_7,BGIS,construction,business consulting and services,information technology & services
knime_8,BGIS,construction,business consulting and services,professional training and coaching
knime_9,CENTOGENE,"Technology, Information and Internet",Healthcare,Biotechnology
knime_10,CENTOGENE,hospitals and health care,"technology, information and internet",life sciences
knime_11,Chiesi,Pharmaceutical and Biotechnology,Healthcare,Chemical Manufacturing
knime_12,Chiesi,software development,pharmaceuticals,business services
knime_13,KNIME,Business Consulting and Services,Software Development,"Technology, Information and Internet"
knime_14,KNIME,Business Consulting and Services,Software Development,Information Technology & Services
knime_15,BigBear.ai,Software Development,"Technology, Information and Internet",Business Consulting and Services
knime_16,BigBear.ai,software development,"technology, information and internet",information technology & services
knime_17,Continental,Automotive,Manufacturing,Technology
knime_18,Continental,Automotive,Manufacturing,Technology
knime_19,KNIME Analytics Platform,business consulting and services,software development,data science
knime_20,KNIME Analytics Platform,Software Development,Business Intelligence and Services,Technology
knime_21,,o,t,h
knime_22,,o,t,h
knime_23,IFM,Financial Services,Construction,IT Services and IT Consulting
knime_24,IFM,Financial Services,Business Consulting and Services,IT Services and IT Consulting
knime_25,Telekom Deutschland GmbH,telecommunications,financial services,software development
knime_26,Telekom Deutschland GmbH,telecommunications,financial services,software development
knime_27,Diaceutics,healthcare,technology,biotechnology
knime_28,Diaceutics,hospitals and health care,"technology, information and internet",medical practices
knime_29,,Retail,Business Services,Technology
knime_30,KNIME,Business Intelligence,Software Development,Technology
knime_31,Food and Drug Administration (FDA),healthcare,public administration,government
knime_32,Food and Drug Administration (FDA),Healthcare,Government,Regulatory
knime_33,Automotive Holdings Group (AHG),motor vehicle manufacturing,financial services,retail
knime_34,Automotive Holdings Group (AHG),financial services,motor vehicle manufacturing,"transportation, logistics, supply chain and storage"
knime_35,Gemmacon,Business Consulting and Services,Information Technology & Services,Software Development
knime_36,Gemmacon,Information Technology & Services,Business Consulting and Services,Software Development
knime_37,HireRight,IT Services and IT Consulting,Business Consulting and Services,Software Development
knime_38,HireRight,Human Resources Services,Staffing and Recruiting,Business Consulting and Services
knime_39,ING,financial services,banking,financial
knime_40,ING,financial services,banking,insurance
knime_41,JYSK,retail,business consulting and services,consumer services
knime_42,JYSK,Retail,Home Goods,Furniture
knime_43,Kärcher,construction,retail,manufacturing
knime_44,Kärcher,construction,manufacturing,"technology, information and internet"
knime_45,Knoldus,"Technology, Information and Internet",Business Consulting and Services,Software Development
knime_46,Knoldus,Consumer Packaged Goods (CPG),Retail,Technology
knime_47,netzeffekt,business consulting and services,advertising services,"technology, information and internet"
knime_48,netzeffekt,Business Consulting and Services,Advertising Services,"Technology, Information and Internet"
knime_49,Procter & Gamble,consumer goods,retail,chemical manufacturing
knime_50,Procter & Gamble,Consumer Goods,Manufacturing,Healthcare
knime_51,Pure Romance,direct sales,retail,consumer services
knime_52,Pure Romance,direct sales,business consulting and services,advertising services
knime_53,KNIME Analytics Platform,Financial Services,Software Development,Business Consulting and Services
knime_54,KNIME Analytics Platform,Financial Services,Business Intelligence,Technology
knime_55,Rabobank,financial services,banking,finance
knime_56,Rabobank,financial services,banking,financial institutions
knime_57,Seagate Technology,"Technology, Information and Internet",Software Development,Data Storage
knime_58,Seagate,Technology,Information Technology & Services,Software Development
knime_59,Siemens,Industrial Machinery Manufacturing,Engineering Services,Electrical Equipment
knime_60,Siemens,Digital Industries,"Technology, Information and Internet",Business Consulting and Services
knime_61,KNIME Analytics Platform,Business Intelligence,Data Analysis,Software Development
knime_62,ABC Inc.,construction,software development,business consulting
knime_63,,Business Services,Software Development,Consulting
knime_64,,business consulting and services,financial services,professional training and coaching
knime_65,Sparkasse KölnBonn,Financial Services,Business Consulting and Services,Software Development
knime_66,Sparkasse KölnBonn,Financial Services,Business Consulting and Services,Other
knime_67,Atos,IT Services,Consulting,Technology
knime_68,Atos,IT Services,Consulting,Software Development
knime_69,,business consulting and services,"technology, information and internet",software development
knime_70,KNIME,{'guess_1': 'Business Consulting and Services'},{'guess_2': 'Software Development'},"{'guess_3': 'Technology, Information and Internet'}"
knime_71,Tata Steel Europe,Industrial Machinery Manufacturing,Steel Production,Construction
knime_72,Tata Steel Europe,manufacturing,steel,construction
knime_73,KNIME,travel arrangements,hospitality,software development
knime_74,KNIME,Hospitality,Software Development,Business Consulting and Services
knime_75,Hungarian Government,Public Administration,Government,IT Services
knime_76,Hungarian Government,Government,Public Administration,Technology
knime_77,,o,t,h
knime_78,,o,t,h
knime_79,Financial Services Company,financial services,business consulting and services,"technology, information and internet"
knime_80,KNIME,financial services,software development,other
knime_81,Uppsala University,Education,Research,Healthcare
knime_82,Uppsala University,technology,information technology & services,business consulting and services
knime_83,Wave Life Sciences,life science,biopharma,software development
knime_84,Wave Life Sciences,life sciences,biotech,pharmaceuticals
knime_85,Webbankir,Financial Services,Technology,Information and Internet
knime_86,Webbankir,Financial Services,Software Development,Business Consulting and Services
knime_87,Würth,construction,wholesale,manufacturing
knime_88,Würth,construction,retail,manufacturing
knime_89,Würth,Construction,Business Consulting and Services,Industrial Machinery Manufacturing
knime_90,Würth,construction,business consulting and services,manufacturing
knime_91,Z5 Inventory,Hospitals and Health Care,Business Consulting and Services,Information Technology & Services
knime_92,Z5 Inventory,hospitals and health care,business consulting and services,software development
knime_93,ZF,"technology, information and internet",software development,industrial machinery manufacturing
knime_94,ZF,"technology, information and internet",software development,industrial machinery manufacturing
tableau_1,Tinuiti,Advertising Services,Digital Marketing Agency,Media and Entertainment
tableau_2,Gulf Bank,Financial Services,Banking,Economy
tableau_3,St George's University Hospitals NHS Foundation Trust,hospitals and health care,"technology, information and internet",healthcare
tableau_4,ABB,"technology, information and internet",industrial machinery manufacturing,manufacturing
tableau_5,Swiss Re Group,Insurance,Financial Services,Reinsurance
tableau_6,NHS Digital,healthcare,government,technology
tableau_7,Staysure Group,insurance,financial services,travel
tableau_8,Kramp Group,Agricultural Services,Supply Chain and Logistics,Manufacturing
tableau_9,VR-Bank Mitte eG,financial services,banking and financial,credit institutions
tableau_10,Experian,financial services,data and analytics,information services
tableau_11,Bank Mandiri,Financial Services,"Technology, Information and Internet",Business Consulting and Services
tableau_12,Aargau Cantonal Police,law enforcement,public administration,government
tableau_13,Aon,risk management,insurance,professional services
tableau_14,Swiss Life,insurance,financial services,asset management
tableau_15,Siemens AG,IT,Technology,Manufacturing
tableau_16,Tesco,retail,,
tableau_17,Greater Manchester Health and Social Care Partnership (GMHSCP),hospitals and health care,business consulting and services,"technology, information and internet"
tableau_18,Southwest Airlines,air transport,travel services,logistics and supply chain
tableau_19,Coca-Cola Bottling Company Consolidated (CCBCC),beverage,food and beverage services,consumer services
tableau_20,Arby's Restaurant Group,food and beverage services,retail,restaurants
tableau_21,Merkle,advertising services,marketing,business consulting and services
tableau_22,Zillow,real estate,business services,financial services
tableau_23,bol.com,Retail,E-commerce,Online Retailing
tableau_24,"Red Hat, Inc.",IT Services and IT Consulting,Software Development,"Technology, Information, and Internet"
tableau_25,Verizon Fios,Telecommunications,"Technology, Information and Internet",Software Development
tableau_26,UNC Health,hospitals and health care,business consulting and services,software development
tableau_27,Providence St. Joseph Health,hospitals and health care,business consulting and services,medical practices
tableau_28,Lake County Health Department and Community Health Center,hospitals and health care,non-profit organizations,government
tableau_29,Wells Fargo & Company,financial services,business consulting and services,consumer services
tableau_30,Front Health,Hospitals and Healthcare,Business Consulting and Services,Information Technology and Services
tableau_31,Tinuiti,advertising services,digital marketing agency,business consulting and services
tableau_32,JetBlue,travel,transportation,aviation
tableau_33,"Juniper Networks, Inc.",Information Technology & Services,Software Development,Network Equipment Manufacturing
tableau_34,Bain & Company,business consulting and services,financial services,software development
tableau_35,Texas Rangers,Sports,Entertainment,Leisure
tableau_36,,o,t,h
tableau_37,,o,t,h
tableau_38,Mankind Pharma,pharmaceuticals,consumer goods,healthcare
tableau_39,voestalpine,Transportation,Oil and Gas,Manufacturing
tableau_40,CVS Health,retail,hospitals and health care,"technology, information and internet"
tableau_41,Mercado Libre,E-commerce,"Technology, Information and Internet",Retail
tableau_42,Pony Canyon,"Technology, Information and Internet",Entertainment Providers,Music Industry
tableau_43,Bentley,Automotive,Manufacturing,Luxury Goods
tableau_44,Carter's Inc.,Retail,Apparel and Fashion,
tableau_45,Japan Airlines,Air Transport,Aviation,Transportation
tableau_46,ZALORA,retail,"technology, information and internet",software development
tableau_47,Nanyang Girls’ High School,education administration programs,higher education,information technology & services
tableau_48,American Family Insurance,Insurance,Financial Services,Business Consulting and Services
tableau_49,F5,"Technology, Information and Internet",Software Development,Information Technology & Services
tableau_50,Papaya Global,Global Payroll Solutions,Financial Services,Human Resources
tableau_51,Gruppo MutuiOnline,financial services,"technology, information and internet",insurance
tableau_52,Freecharge,Financial Services,Digital Payments,Technology
tableau_53,United Nations World Food Programme (WFP),non-profit organizations,humanitarian aid,food security
tableau_54,"Ministry of Health, Indonesia",Healthcare,Government,Technology
tableau_55,True Corporation,telecommunications,"technology, information and internet",information technology & services
tableau_56,UniCredit,financial services,banking,financial and insurance
tableau_57,Tivian,Employee Experience,Business Intelligence,Software-as-a-Service (SaaS)
tableau_58,SIAM KUBOTA Corporation,construction,manufacturing,farming equipment
tableau_59,PT Bank Rakyat Indonesia (BRI),financial services,banking,finance
tableau_60,"SmartNews, Inc.","technology, information and internet",software development,business consulting and services
tableau_61,Yahoo Japan Corporation,"Technology, Information and Internet",Information Technology & Services,Internet
tableau_62,DT One,"technology, information and internet",software development,financial services
tableau_63,FUJIFILM Corporation,Graphic Communication Business Division,Printing Equipment,Commercial Printing
tableau_64,Eigerindo,Retail,Apparel,Fashion
tableau_65,NYU Langone Health,hospitals and health care,business consulting and services,"technology, information and internet"
tableau_66,Feeding America,non-profit organizations,food and beverage services,human services
tableau_67,MALL Group,retail,e-commerce,technology
tableau_68,Hitachi,Information Technology,IT Services,Electrical Equipment
tableau_69,Unacademy,Education,"Technology, Information and Internet",Software Development
tableau_70,TATA 1mg,healthcare,technology,IT services
tableau_71,Prometeia,Financial Services,Business Consulting and Services,Risk Management
tableau_72,MicroPort CRM,medical devices,healthcare,technology
tableau_73,Rail Delivery Group (RDG),IT Services and IT Consulting,Financial Services,Transportation
tableau_74,Online PSB Loans Limited,financial services,lending fintech,fintech
tableau_75,Egged Transportation Ltd.,public transportation,transportation,logistics
tableau_76,ILIAS,IT Services,Software Development,"Technology, Information and Internet"
tableau_77,RBC Wealth Management U.S.,financial services,wealth management,banking
tableau_78,"Merck KGaA, Darmstadt, Germany",Life Science,Healthcare,Electronics
tableau_79,United States Olympic & Paralympic Committee (USOPC),non-profit organizations,sports,other
tableau_80,Salesforce,financial services,"technology, information and internet",business consulting and services
tableau_81,KeyBank,Financial Services,Retail,Commercial Banking
tableau_82,Sompo Holdings (Asia) Pte. Ltd.,insurance,financial services,property and casualty insurance
tableau_83,Carro,Software Development,Financial Services,"Technology, Information and Internet"
tableau_84,Nippon Gases,Industrial gases,Chemicals and Pharmaceuticals,Energy
tableau_85,Zuellig Pharma,hospitals and health care,"technology, information and internet",medical practices
tableau_86,PT Link Net Tbk,"Technology, Information and Internet",Information Technology & Services,Telecommunications
tableau_87,PolicyLink,non-profit organizations,business consulting and services,public policy
tableau_88,OTP Bank Romania,Financial Services,Banking,Insurance
tableau_89,Ocado Retail,Retail,"Technology, Information and Internet",Food and Beverage Services
tableau_90,Amstelring,Healthcare,Medical,Nursing
tableau_91,IDBS,biopharma,software development,"technology, information and internet"
tableau_92,The 1,Retail,"Technology, Information and Internet",Business Consulting and Services
tableau_93,Progressive Insurance,Financial Services,Insurance,"Technology, Information and Internet"
tableau_94,"Hitachi Solutions, Ltd.",IT Services and IT Consulting,Information Technology & Services,"Technology, Information and Internet"
tableau_95,Midea,"appliances, electrical, and electronics manufacturing",home appliance,consumer goods
