story_id,company_name,company_org,industry_1,industry_2,industry_3,industry_4
insight_22,otsuka pharmaceuticals co.,otsuka pharmaceuticals co.,pharmaceuticals,healthcare,medical devices,Manufacturing
insight_23,"taylor forge engineered systems, inc.",taylor forge,manufacturer,industry,energy,Manufacturing
insight_24,"karmak, inc.",karmak,transportation,business management,software development,Transportation and Storage
insight_25,nice actimize,nice actimize,financial services,software development,business intelligence,Financial And Insurance Activities
insight_26,h&j martin asset management services,h&j martin,construction,business consulting and services,facilities services,Construction
insight_27,mgma,mgma,healthcare,"technology, information and internet",business consulting and services,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES
insight_28,kana software,kana - a verint company,customer service,business software,software development,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
insight_29,informatica,informatica,software development,"technology, information and internet",business consulting and services,Information And Communication
insight_30,franklin american mortgage company,franklin american mortgage,a. financial services,b. mortgage industry,c. real estate,FINANCIAL AND INSURANCE ACTIVITIES
insight_31,emplifi,emplifi,"technology, information and internet",software development,business consulting and services,Information And Communication
insight_32,dossier solutions,dossier solutions,healthcare,software development,technology,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES
insight_33,taylormade,taylormade golf company,software development,sports equipment manufacturing,retail,Information And Communication
insight_34,alfatech,alfatech,electrical engineering,telecom business,it services,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY"
insight_35,adviseinc,adviseinc,hospitals and health care,business consulting and services,"technology, information and internet",Human Health And Social Work Activities
insight_36,outcome health,outcome health,hospitals and health care,non-profit organizations,medical practices,Human Health And Social Work Activities
insight_37,first quartile consulting,first quartile consulting,business consulting and services,utility consulting,energy,"Professional, Scientific and Technical Activities"
insight_38,tectum group,tectum group,construction,it services,business consulting and services,Construction
insight_39,"wrightington, wigan and leigh (wwl) nhs foundation trust",nhs,hospitals and health care,"technology, information and internet",information technology & services,Human Health And Social Work Activities
insight_40,novartis,novartis,healthcare,pharmaceuticals,medical research,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES
insight_41,novo nordisk,novo nordisk,pharmaceutical,healthcare,biotechnology,Manufacturing
insight_42,phoenix lv,phoenix lv,transportation,logistics,medical,Transportation and Storage
insight_43,catalyst bi,catalyst bi,hospitals and health care,business consulting and services,"technology, information and internet",Human Health And Social Work Activities
insight_44,dac group,dac,advertising services,business consulting and services,it services and it consulting,"Professional, Scientific and Technical Activities"
insight_45,cnhi,cnhi,construction,capital goods,agricultural equipment,Construction
insight_46,hermes arzneimittel holding gmbh,hermes arzneimittel,pharmaceutical,medical,healthcare,Manufacturing
insight_47,crider foods,crider foods,food and beverage services,manufacturing,business consulting and services,Accommodation and Food Service Activities
insight_48,schindler,schindler,construction,"technology, information and internet",manufacturing,Construction
insight_49,context,context,"technology, information and internet",business consulting and services,software development,Information And Communication
insight_50,vodafone,vodafone,telecommunications,mobile communications,it services,Information and Communication
insight_51,prorail,prorail,construction,"technology, information and internet",business consulting and services,Construction
insight_52,jbs,jbs,food and beverage services,agriculture,manufacturing,Accommodation and Food Service Activities
insight_53,thomas wellness group,thomas wellness group,wellness,fitness services,health care,"Arts, Entertainment and Recreation"
insight_54,grafix plastics,grafix plastics,industrial,manufacturing,plastic film and sheet,Manufacturing
insight_55,"cummins, inc.",cummins,manufacturing,energy,construction,Manufacturing
insight_56,eastern shires purchasing organisation (espo),espo,distribution,business consulting and services,professional training and coaching,TRANSPORTATION AND STORAGE
insight_57,axminster tools & machinery,axminster tools & machinery,retail,distribution,business services,Wholesale And Retail Trade
insight_58,marketlab,marketlab,retail,"technology, information and internet",business consulting and services,Wholesale And Retail Trade
insight_59,nordeon,nordeon,other,,,Other
insight_60,southco,southco,manufacturing,financial services,technology,Manufacturing
insight_61,catalyst paper corporation,nd paper,paper,manufacturing,forest products,Manufacturing
insight_62,avon products inc,avon products,retail,business consulting and services,advertising services,Wholesale And Retail Trade
insight_63,databricks,databricks,information technology,software development,"technology, information and internet",Manufacturing
insight_64,dkg,dkg,other,,,Other
insight_65,sapa building system,sapa building system,other,,,Other
insight_66,royal gazelle,royal gazelle,business intelligence,software development,,"Professional, Scientific and Technical Activities"
insight_67,dsm dyneema,dsm dyneema,other,,,Other
insight_68,george khatcherian,independent sap consultant,chemical,manufacturing,pharmacy,MANUFACTURING
insight_69,fender,fender,entertainment,"technology, information and internet",manufacturing,"Arts, Entertainment and Recreation"
insight_70,datalogic,datalogic,manufacturing,"technology, information and internet",retail,Manufacturing
insight_71,power equipment company,power equipment company,wholesale,construction,manufacturing,Wholesale and Retail Trade
insight_72,concur,concur,business consulting and services,software development,financial services,"Professional, Scientific and Technical Activities"
insight_73,allied,allied electronics & automation,software development,"technology, information and internet",business consulting and services,Information And Communication
insight_74,magnitude,children’s hospital oncology division,hospitals and health care,"technology, information and internet",business consulting and services,Human Health And Social Work Activities
insight_75,"forgerock, inc.","forgerock, inc.",software development,"technology, information and internet",information technology & services,Information And Communication
insight_76,magnitude,healthcare industry,hospitals and health care,software development,"technology, information and internet",Human Health And Social Work Activities
insight_77,sisense,sisense,technology,software development,business intelligence,Information And Communication
insight_78,global provider of enterprise analytics and mobility software,the global provider of enterprise analytics,business intelligence,"technology, information and internet",software development,"Professional, Scientific and Technical Activities"
insight_79,magnitude,cloud data source provider,business intelligence,software development,"technology, information and internet","Professional, Scientific and Technical Activities"
insight_80,tgestiona,tgestiona,business consulting and services,information technology & services,financial services,"Professional, Scientific and Technical Activities"
insight_81,kimball office,kimball international,furniture,design,manufacturing,MANUFACTURING
insight_82,morgan foods,morgan foods international,food and beverage services,manufacturing,private label soup manufacturer,Accommodation and Food Service Activities
insight_83,hella,hella,automotive,manufacturing,logistics and supply chain,WHOLESALE AND RETAIL TRADE
insight_84,zebra technologies corporation,zebra technologies,manufacturing,"technology, information and internet",industrial machinery manufacturing,Manufacturing
insight_85,"qualcomm, incorporated",qualcomm,"technology, information and internet",software development,mobile devices,Information And Communication
insight_86,graybar,graybar,construction,supply chain management,industrial,Construction
insight_87,rstudio,rstudio,software development,business consulting and services,"technology, information and internet",Information And Communication
insight_88,galvanize,galvanize,grc software solutions,risk management,compliance,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
insight_89,trinity industries,trinity industries,transportation,industrial,construction,Transportation and Storage
insight_90,chat board,chat board,design services,manufacturing,consumer goods,"Professional, Scientific and Technical Activities"
insight_91,van hessen,van hessen,food processing,natural casings and meat products,manufacturing,ACCOMMODATION AND FOOD SERVICE ACTIVITIES
insight_92,associated battery manufacturers (abm),abm,manufacturing,energy,electronics,Manufacturing
insight_93,zip,zip,financial services,"technology, information and internet",business consulting and services,Financial And Insurance Activities
insight_94,daa,daa,financial services,transportation,construction,Financial And Insurance Activities
insight_95,rendine constructions,rendine,construction,civil construction builder,engineering,Construction
insight_96,levoplant,levoplant,other,,,Other
insight_97,kolb cleaning technology gmbh,kolb cleaning technology,manufacturing,electronics,chemicals,Manufacturing
insight_98,aramark uniform services,aramark uniform services,hospitals and health care,food and beverage services,facilities services,Human Health And Social Work Activities
insight_99,haven home safe,haven home safe,non-profit organizations,healthcare,housing,Administrative and Support Service Activities
insight_100,amplion clinical communications,amplion clinical communications,business consulting and services,"technology, information and internet",software development,"Professional, Scientific and Technical Activities"
insight_101,fonden mariehjemmene,fonden mariehjemmene,non-profit,healthcare,social services,Administrative and Support Service Activities
insight_102,vanderlande,vanderlande,logistics,transportation,manufacturing,TRANSPORTATION AND STORAGE
insight_103,heineken group,heineken,beverage,food and beverage services,consumer services,ACCOMMODATION AND FOOD SERVICE ACTIVITIES
insight_104,blood centers of america (bca),blood centers of america,hospitals and health care,"technology, information, and internet",medical practices,Human Health And Social Work Activities
insight_105,prüftechnik,pruftechnik,industrial machinery manufacturing,manufacturing,"technology, information and internet",Manufacturing
insight_106,mccorkle nurseries,mccorkle nurseries,nursery and greenhouse,retail,wholesale,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES
insight_107,absorb software,absorb software,software development,business consulting and services,learning management system (lms),Information And Communication
insight_108,cybermaxx,cybermaxx,hospitals and health care,"technology, information and internet",business consulting and services,Human Health And Social Work Activities
insight_109,lima memorial hospital,lima memorial,hospitals and health care,medical practices,healthcare,Human Health And Social Work Activities
insight_110,boston college university libraries,boston college,higher education,education administration programs,non-profit organizations,Education
insight_111,pathway chicken,pathway chicken,food and beverage manufacturing,manufacturing,business consulting and services,Manufacturing
insight_112,origami risk,origami risk,insurance,risk management,software development,Financial And Insurance Activities
insight_113,hastings group,hastings group,financial services,insurance,consumer goods,Financial And Insurance Activities
insight_114,northeast ohio regional sewer district,the northeast ohio regional sewer district,environmental services,public utilities,government,"Professional, Scientific and Technical Activities"
insight_115,xref,xref,software development,financial services,business consulting and services,Information And Communication
insight_116,celanese,celanese,chemicals,materials,manufacturing,MANUFACTURING
insight_117,truckee donner public utility district,truckee-donner public utility district,public utilities,electricity and water services,non-profit,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY
insight_118,ssb consulting,ssb consulting,business consulting and services,software development,"technology, information and internet","Professional, Scientific and Technical Activities"
insight_119,youmanage,youmanage,software development,business consulting and services,human resources services,Information And Communication
insight_120,symbox,symbox,business consulting and services,"technology, information and internet",software development,"Professional, Scientific and Technical Activities"
insight_121,citycounty insurance services (cis),citycounty insurance services,insurance,government,financial services,Financial And Insurance Activities
insight_122,tti,tti group,"appliances, electrical, and electronics manufacturing",home improvement,construction,Manufacturing
insight_123,nordr,nordr,real estate,construction,business consulting and services,Real Estate Activities
insight_124,hermadix,hermadix,horticultural,chemical,manufacturing,"AGRICULTURE, FORESTRY AND FISHING"
insight_125,cromology,cromology,paint manufacturing,decorative painting,chemical manufacturing,Manufacturing
insight_126,senior,senior plc,aerospace & defence,land vehicle,power & energy,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY
insight_127,eichenauer services inc.,eichenauer services inc.,food and beverage services,commercial kitchen maintenance,facilities services,Accommodation and Food Service Activities
insight_128,société bic,bic,consumer goods,manufacturing,stationery,WHOLESALE AND RETAIL TRADE
insight_129,"leading us-based, global manufacturer",leading global manufacturer,manufacturing,financial services,business consulting and services,Manufacturing
insight_130,discovery inc.,"discovery, inc.",multimedia entertainment,media production,entertainment providers,"ARTS, ENTERTAINMENT AND RECREATION"
insight_131,party rent group,party rent group,events services,business consulting and services,advertising services,Accommodation and Food Service Activities
insight_132,eew malaysia,eew malaysia,oil and gas,manufacturing,engineering,"Electricity, Gas, Steam and Air Conditioning Supply"
insight_133,symrise,symrise,chemical manufacturing,flavorings and fragrance,other,MANUFACTURING
insight_134,the rathgeber group,the rathgeber group,commercial labeling solutions,custom- made commercial and technical labelling,printing services,OTHER SERVICE ACTIVITIES
insight_135,femat,femat,construction,industrial machinery manufacturing,manufacturing,Construction
insight_136,värmevärden/adven,värmevärden,energy services,renewable energy,industrial energy,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY"
insight_137,speedy services,speedy services,construction,it services and it consulting,business consulting and services,Construction
insight_138,websan solutions inc.,websan,it services and it consulting,software development,information technology & services,"Professional, Scientific and Technical Activities"
insight_139,seqens,seqens,financial services,business consulting and services,other,Financial And Insurance Activities
insight_140,seqens group,seqens,software development,financial services,business consulting and services,Information And Communication
insight_141,pmu,pmu,https://www.yourdictionary.com/accounting,financial services,software development,Administrative and Support Service Activities
insight_142,neoen,neoen,energy,renewable energy,infrastructure,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY"
insight_143,france air,france air,financial services,software development,airline,Financial And Insurance Activities
insight_144,astek group,astek,it services and it consulting,construction,other,"Professional, Scientific and Technical Activities"
insight_145,cbc/radio-canada,cbc,financial services,media production,non-profit organizations,Financial And Insurance Activities
insight_146,imi,imi,it services,business consulting and services,financial services,"Professional, Scientific and Technical Activities"
insight_147,rotork,rotork,construction,financial services,other,Construction
insight_148,primonial group,primonial,financial services,business consulting and services,accounting,Financial And Insurance Activities
insight_149,unknown,nexity,financial services,business consulting and services,accounting,Financial And Insurance Activities
insight_150,kp1,kp1,financial services,business consulting and services,other,Financial And Insurance Activities
insight_151,clarins,clarins,beauty,cosmetics,personal care,WHOLESALE AND RETAIL TRADE
insight_152,bdc,bdc,financial services,banking,financial institutions,Financial And Insurance Activities
insight_153,5àsec group,5àsec,business consulting and services,financial services,"technology, information and internet","Professional, Scientific and Technical Activities"
insight_154,outsurance,outsurance,financial services,insurance,short-term insurance market,Financial And Insurance Activities
insight_155,bauer group,bauer group,construction,software development,industrial machinery manufacturing,Construction
insight_156,euronics deutschland eg,euronics,consumer services,retail,electrical and electronics manufacturing,Wholesale and Retail Trade
insight_157,elringklinger,elringklinger,automotive,manufacturing,software development,WHOLESALE AND RETAIL TRADE
insight_158,caymas boats,caymas boats,manufacturing,boating and marine,consumer goods,Manufacturing
insight_159,howard hughes corporation,howard hughes corporation,real estate,construction,business consulting and services,Real Estate Activities
insight_160,investor ab,investor ab,financial services,business consulting and services,software development,Financial And Insurance Activities
insight_161,worldwide facilities,worldwide facilities,insurance,financial services,business consulting and services,Financial And Insurance Activities
insight_162,quint,quint,it services and it consulting,software development,consulting services,"Professional, Scientific and Technical Activities"
insight_163,wecare holding,wecare holding,health care,medical practices,hospitals and health care,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES
insight_164,american asset corporation,aac,real estate,construction,financial services,Real Estate Activities
insight_165,farmington electric utility system,"the city of farmington, new mexico",financial services,energy and utilities,utilities,Financial And Insurance Activities
insight_166,london internet exchange (linx),london internet exchange,"technology, information and internet",non-profit organizations,internet,Information And Communication
insight_167,carlsberg,carlsberg china,financial services,brewing,manufacturing,Financial And Insurance Activities
insight_168,bsk associates,bsk associates,construction,business consulting and services,consulting engineering and analytical testing,Construction
insight_169,"lavery, de billy, l.l.p.","lavery, de billy, l.l.p.",business consulting and services,law practice,legal services,"Professional, Scientific and Technical Activities"
insight_170,altagas ltd.,altagas ltd.,energy,oil_and_gas,infrastructure,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY"
insight_171,lv=,lv=,financial services,insurance,other,Financial And Insurance Activities
insight_172,lifepoint health,"lifepoint health, inc.",hospitals and health care,financial services,"technology, information and internet",Human Health And Social Work Activities
insight_173,folksam,folksam,financial services,insurance,software development,Financial And Insurance Activities
insight_174,entercard,entercard,financial services,banking,credit provider,Financial And Insurance Activities
insight_175,drdgold,drdgold,"['mining', 0.7]","['financial services', 0.3]",['other'],MINING AND QUARRYING
insight_176,a drive for efficiency,confidential high tech company,real estate,financial services,technology,Real Estate Activities
insight_177,linamar,linamar corporation,manufacturing,financial services,other,Manufacturing
insight_178,nutrien inc.,nutrien inc.,financial services,agriculture,chemical manufacturing,Financial And Insurance Activities
insight_179,"financial intelligence, llc","financial intelligence, llc",financial services,business consulting and services,accounting,Financial And Insurance Activities
insight_180,public company,anonymous public company,financial services,software development,business consulting and services,Financial And Insurance Activities
insight_181,a global internet powerhouse,company confidential,technology,information technology & services,financial services,Information And Communication
insight_182,atlantic capital bank,atlantic capital bank,financial services,banking,financial,Financial And Insurance Activities
insight_183,vaalco,"vaalco energy, inc.",oil and gas,financial services,energy,"Electricity, Gas, Steam and Air Conditioning Supply"
insight_184,ngl energy partners,ngl energy partners,energy,financial services,oil and gas,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY"
insight_185,"international seaways, inc.","international seaways, inc.",financial services,"transportation, logistics, supply chain and storage",construction,Financial And Insurance Activities
insight_186,optimus business transformation,optimus business transformation,business consulting and services,it services and it consulting,software development,"Professional, Scientific and Technical Activities"
insight_187,mtn congo,mtn congo,financial services,telecommunications,"technology, information and internet",Financial And Insurance Activities
insight_188,pra health sciences,pra health sciences,hospitals and health care,financial services,software development,Human Health And Social Work Activities
insight_189,renaissance learning,renaissance learning,software development,education administration programs,business consulting and services,Information And Communication
insight_190,rockwell automation,rockwell automation,other,,,Other
insight_191,custom goods,custom goods,third-party logistics,business intelligence,supply chain,Transportation and Storage
insight_192,ixys uk westcode,ixys uk westcode ltd.,power semiconductors,electronics,technology,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY"
insight_193,midwest property management,midwest property management,real estate,business consulting and services,financial services,Real Estate Activities
insight_194,"wec energy group, inc.",wec,energy supply,services,utilities,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY"
insight_195,veolia,veolia,other,,,Other
insight_196,sandy spring bank,sandy spring bank,financial services,banking,insurance,Financial And Insurance Activities
insight_197,rsa canada,rsa,financial services,insurance,professional training and coaching,Financial And Insurance Activities
insight_198,parkohio,parkohio,industrial machinery manufacturing,manufacturing,"transportation, logistics, supply chain and storage",Manufacturing
insight_199,longview software and service solutions,norbord,business consulting and services,software development,"technology, information and internet","Professional, Scientific and Technical Activities"
insight_200,longview software and service solutions,la capitale,financial services,software development,business consulting and services,Financial And Insurance Activities
insight_201,health network laboratories,health network laboratories,other,,,Other
insight_202,hd supply support services,hd supply,construction,business consulting and services,software development,Construction
insight_203,generac,generac,power generation,electrical equipment,manufacturing,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY"
insight_204,gatx,gatx,construction,financial services,transportation,Construction
insight_205,energir,energir,energy,financial services,oil and gas,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY"
insight_206,dallas/fort worth international airport (dfw),dallas/fort worth international airport,financial services,transportation and logistics,government agency,Financial And Insurance Activities
insight_207,deloitte,deloitte,other,,,Other
insight_208,eagle materials,eagle materials,other,,,Other
insight_209,dassault aviation,dassault aviation,aerospace,manufacturing,technology,MANUFACTURING
insight_210,"ventas, inc.","ventas, inc.",other,,,Other
insight_211,transamerica life insurance company,transamerica life insurance company,other,,,Other
insight_212,"mercedes-benz truck germany, daimler ag","mercedes-benz truck germany, daimler ag",other,,,Other
insight_213,la coop federee,la coop federee,other,,,Other
insight_214,imerys,imerys,other,,,Other
insight_215,icat managers,icat managers,other,,,Other
insight_216,hasbro,hasbro,other,,,Other
insight_217,alimentation couche-tard inc.,alimentation couche-tard inc.,other,,,Other
insight_218,cornell university,cornell university,other,,,Other
insight_219,acxiom,acxiom,other,,,Other
insight_220,apergy,apergy,other,,,Other
insight_221,heuver,heuver,other,,,Other
insight_222,multiconsult,multiconsult,construction,business consulting and services,architecture and planning,Construction
insight_223,stoltz management,stoltz management,real estate,construction,business consulting and services,Real Estate Activities
insight_224,grilstad,grilstad,meat production,food processing,manufacturing,"AGRICULTURE, FORESTRY AND FISHING"
insight_225,nthf (norsk tannhelseforsikring),norwegian dental health insurance,insurance,financial services,healthcare,Financial And Insurance Activities
insight_226,osm maritime group,osm maritime group,marine,offshore,logistics,Manufacturing
insight_227,dalakraft,dalakraft,electrical,"technology, information and internet",manufacturing,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY"
insight_228,coop sørvest,coop sørvest,retail,consumer services,business consulting and services,Wholesale And Retail Trade
dash_1,pricelabs,property-management-analytics-pricelabs,software development,business consulting and services,"technology, information and internet",Information And Communication
dash_2,kansas city chiefs,kansas-city-chiefs,sports,entertainment providers,spectator sports,"Arts, Entertainment and Recreation"
dash_3,equinor,equinor-energy,oil_and_gas,energy,environmental_services,"Electricity, Gas, Steam and Air Conditioning Supply"
dash_4,utah jazz,sports-analytics-utah-jazz,professional sports,spectator sports,business consulting and services,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
dash_5,holmusk,behavioral-health-holmusk,hospitals and health care,"technology, information and internet",pharmaceutical,Human Health And Social Work Activities
dash_6,canadian imperial bank of commerce (cibc),cibc,financial services,banking,investment banking,Financial And Insurance Activities
dash_7,intuit,intuit,financial services,software development,technology,Financial And Insurance Activities
dash_8,plotly,public-utility-dash-enterprise,software development,business consulting and services,"technology, information and internet",Information And Communication
dash_9,denver regional transportation district (rtd),denver-regional-transport,"transportation, logistics, supply chain and storage",public services,utilities,Transportation and Storage
dash_10,gamuda berhad,iot-gamuda,construction,infrastructure,engineering,Construction
dash_11,cox automotive manheim,automotive-capacity-planning-cox-auto,software development,industrial engineering,advertising services,Information And Communication
dash_12,crant,crant-ai,advertising services,software development,business consulting and services,"Professional, Scientific and Technical Activities"
dash_13,wpo (wind prospect operations),wpo-energy,energy & utilities,renewable energy,sustainable energy,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY"
dash_14,gamma technologies,gamma-tech,software development,"technology, information and internet",engineering,Information And Communication
dash_15,national renewable energy laboratory (nrel),renewable-energy-nrel,renewable energy,software development,energy efficiency,"Electricity, Gas, Steam and Air Conditioning Supply"
dash_16,chesapeake energy,chesapeake-energy,oil_and_gas,energy,none_of_the_above,"Electricity, Gas, Steam and Air Conditioning Supply"
dash_17,pairwise,pairwise,food tech,"technology, information and internet",software development,ACCOMMODATION AND FOOD SERVICE ACTIVITIES
dash_18,pharmaceutical company,dash-enterprise-covid,pharmaceutical,medical,healthcare,Manufacturing
dash_19,komatsu,komatsu,manufacturing,construction,mining,Manufacturing
dash_20,uniper,uniper,energy,oil_and_gas,financial_services,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY"
dash_21,ningbo institute for supply chain innovation (nisci),supply-chain-nisci,"transportation, logistics, supply chain and storage",,,Transportation and Storage
dash_22,plotly,berkeley-lab,software development,"technology, information and internet",business consulting and services,Information And Communication
dash_23,singapore institute for clinical sciences (sics),singapore-institute-for-clinical-sciences-sics,hospitals and health care,"technology, information and internet",non-profit organizations,Human Health And Social Work Activities
dash_24,sidmach technologies,education-sidmach,education,software development,it services and it consulting,Education
knime_1,alexion,alexion,hospitals and health care,"technology, information and internet",pharmaceuticals,Human Health And Social Work Activities
knime_2,alexion,alexion,"technology, information and internet",software development,pharmaceutical,Information And Communication
knime_3,allente,allente,"technology, information and internet",information technology & services,software development,Information And Communication
knime_4,allente,allente,"technology, information and internet",software development,advertising services,Information And Communication
knime_5,anadolu sigorta,anadolu sigorta,financial services,insurance,"technology, information and internet",Financial And Insurance Activities
knime_6,anadolu sigorta,anadolu sigorta,insurance,financial services,"technology, information and internet",Financial And Insurance Activities
knime_7,bgis,bgis,construction,business consulting and services,information technology & services,Construction
knime_8,bgis,bgis,construction,business consulting and services,professional training and coaching,Construction
knime_9,centogene,centogene,"technology, information and internet",healthcare,biotechnology,Information And Communication
knime_10,centogene,centogene,hospitals and health care,"technology, information and internet",life sciences,Human Health And Social Work Activities
knime_11,chiesi,chiesi,pharmaceutical and biotechnology,healthcare,chemical manufacturing,Manufacturing
knime_12,chiesi,chiesi,software development,pharmaceuticals,business services,Information And Communication
knime_13,knime,clearpeaks,business consulting and services,software development,"technology, information and internet","Professional, Scientific and Technical Activities"
knime_14,knime,clearpeaks,business consulting and services,software development,information technology & services,"Professional, Scientific and Technical Activities"
knime_15,bigbear.ai,combating terrorism technical support office,software development,"technology, information and internet",business consulting and services,Information And Communication
knime_16,bigbear.ai,combating terrorism technical support office,software development,"technology, information and internet",information technology & services,Information And Communication
knime_17,continental,continental,automotive,manufacturing,technology,WHOLESALE AND RETAIL TRADE
knime_18,continental,continental,automotive,manufacturing,technology,WHOLESALE AND RETAIL TRADE
knime_19,knime analytics platform,crystalloids,business consulting and services,software development,data science,"Professional, Scientific and Technical Activities"
knime_20,knime analytics platform,crystalloids,software development,business intelligence and services,technology,Information And Communication
knime_21,daimler,daimler,other,,,Other
knime_22,daimler,daimler,other,,,Other
knime_23,ifm,day5 analytics,financial services,construction,it services and it consulting,Financial And Insurance Activities
knime_24,ifm,day5 analytics,financial services,business consulting and services,it services and it consulting,Financial And Insurance Activities
knime_25,telekom deutschland gmbh,deutsche telekom,telecommunications,financial services,software development,Information and Communication
knime_26,telekom deutschland gmbh,deutsche telekom,telecommunications,financial services,software development,Information and Communication
knime_27,diaceutics,diaceutics,healthcare,technology,biotechnology,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES
knime_28,diaceutics,diaceutics,hospitals and health care,"technology, information and internet",medical practices,Human Health And Social Work Activities
knime_29,epam,epam,retail,business services,technology,Wholesale And Retail Trade
knime_30,knime,epam,business intelligence,software development,technology,"Professional, Scientific and Technical Activities"
knime_31,food and drug administration (fda),fda,healthcare,public administration,government,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES
knime_32,food and drug administration (fda),fda,healthcare,government,regulatory,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES
knime_33,automotive holdings group (ahg),forest grove,motor vehicle manufacturing,financial services,retail,Manufacturing
knime_34,automotive holdings group (ahg),forest grove,financial services,motor vehicle manufacturing,"transportation, logistics, supply chain and storage",Financial And Insurance Activities
knime_35,gemmacon,gemmacon,business consulting and services,information technology & services,software development,"Professional, Scientific and Technical Activities"
knime_36,gemmacon,gemmacon,information technology & services,business consulting and services,software development,"Professional, Scientific and Technical Activities"
knime_37,hireright,hireright,it services and it consulting,business consulting and services,software development,"Professional, Scientific and Technical Activities"
knime_38,hireright,hireright,human resources services,staffing and recruiting,business consulting and services,Administrative and Support Service Activities
knime_39,ing,ing,financial services,banking,financial,Financial And Insurance Activities
knime_40,ing,ing,financial services,banking,insurance,Financial And Insurance Activities
knime_41,jysk,jysk,retail,business consulting and services,consumer services,Wholesale And Retail Trade
knime_42,jysk,jysk,retail,home goods,furniture,Wholesale And Retail Trade
knime_43,kärcher,kärcher,construction,retail,manufacturing,Construction
knime_44,kärcher,kärcher,construction,manufacturing,"technology, information and internet",Construction
knime_45,knoldus,knoldus,"technology, information and internet",business consulting and services,software development,Information And Communication
knime_46,knoldus,knoldus,consumer packaged goods (cpg),retail,technology,WHOLESALE AND RETAIL TRADE
knime_47,netzeffekt,netzeffekt,business consulting and services,advertising services,"technology, information and internet","Professional, Scientific and Technical Activities"
