industry,industry_1,,,,,,,,,
education technology,Education,,,,,,,,,
education_administration_programs,Education,,,,,,,,,
electric cooperative,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",,,,,,,,,ACCOMMODATION AND FOOD SERVICE ACTIVITIES
electric power transmission,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",,,,,,,,,ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES
electrical,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",,,,,,,,,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE
electrical engineering,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",,,,,,,,,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
electrical equipment,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",,,,,,,,,
electronics,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",,,,,,,,,
employee experience,OTHER SERVICE ACTIVITIES,,,,,,,,,
energy,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",,,,,,,,,
energy,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",,,,,,,,,
energy & utilities,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",,,,,,,,,
energy and utilities,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",,,,,,,,,
energy management,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",,,,,,,,,
energy services,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",,,,,,,,,
energy supply,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",,,,,,,,,
engineering,"Professional, Scientific and Technical Activities",,,,,,,,,
entertainment,"Arts, Entertainment and Recreation",,,,,,,,,
entertainment providers,"Arts, Entertainment and Recreation",,,,,,,,,
environmental intelligence,"Professional, Scientific and Technical Activities",,,,,,,,,
environmental services,"Professional, Scientific and Technical Activities",,,,,,,,,
erp,OTHER SERVICE ACTIVITIES,,,,,,,,,
events services,Accommodation and Food Service Activities,,,,,,,,,
facilities management,Accommodation and Food Service Activities,,,,,,,,,
facilities services,Administrative and Support Service Activities,,,,,,,,,
fast-moving consumer goods,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,,,,,,,,,
finance,Financial And Insurance Activities,,,,,,,,,
financial,Financial And Insurance Activities,,,,,,,,,
financial services,Financial And Insurance Activities,,,,,,,,,
fmcg,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,,,,,,,,,
food,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,,,,,,,,,
food & beverage services,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,,,,,,,,,
food and beverage,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,,,,,,,,,
food and beverage manufacturing,Manufacturing,,,,,,,,,
food and beverage service,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,,,,,,,,,
food and beverage services,Accommodation and Food Service Activities,,,,,,,,,
food delivery,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,,,,,,,,,
food delivery service,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,,,,,,,,,
food processing,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,,,,,,,,,
food processing and manufacturing,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,,,,,,,,,
food production,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,,,,,,,,,
food service,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,,,,,,,,,
food tech,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,,,,,,,,,
food_and_beverage_manufacturing,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,,,,,,,,,
food_and_beverage_services,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,,,,,,,,,
footwear,MANUFACTURING,,,,,,,,,
footwear and clothing retailer,WHOLESALE AND RETAIL TRADE,,,,,,,,,
footwear manufacturing,MANUFACTURING,,,,,,,,,
formula 1 racing,MANUFACTURING,,,,,,,,,
fuel,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",,,,,,,,,
furniture,MANUFACTURING,,,,,,,,,
global payroll solutions,OTHER SERVICE ACTIVITIES,,,,,,,,,
government,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,,,,,,,,,
graphic communication business division,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,,,,,,,
grc software solutions,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,,,,,,,
green energy,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",,,,,,,,,
haustechnik,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,,,,,,,,,
health and wellness,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,,,,,,,,,
health care,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,,,,,,,,,
healthcare,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,,,,,,,,,
healthcare and life sciences,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,,,,,,,,,
healthcare technology,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,,,,,,,,,
heating and cooling,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",,,,,,,,,
higher education,Education,,,,,,,,,
horticultural,"AGRICULTURE, FORESTRY AND FISHING",,,,,,,,,
hospitality,Administrative and Support Service Activities,,,,,,,,,
hospitals,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,,,,,,,,,
hospitals and health care,Human Health And Social Work Activities,,,,,,,,,
hospitals and healthcare,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,,,,,,,,,
hospitals_and_health_care,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,,,,,,,,,
hot dip galvanizing,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,,,,,,,,,
housing,Real Estate Activities,,,,,,,,,
https://www.yourdictionary.com/accounting,Administrative and Support Service Activities,,,,,,,,,
human resources services,Administrative and Support Service Activities,,,,,,,,,
individual and family services,Administrative and Support Service Activities,,,,,,,,,
industrial,Manufacturing,,,,,,,,,
industrial automation,Manufacturing,,,,,,,,,
industrial engineering,Manufacturing,,,,,,,,,
industrial gases,Manufacturing,,,,,,,,,
industrial internet of things (iiot),Manufacturing,,,,,,,,,
industrial machinery manufacturing,Manufacturing,,,,,,,,,
industrial technology,INFORMATION AND COMMUNICATION,,,,,,,,,
industry and social infrastructure,Manufacturing,,,,,,,,,
information technology,Manufacturing,,,,,,,,,
information technology & services,"Professional, Scientific and Technical Activities",,,,,,,,,
information technology services,Manufacturing,,,,,,,,,
insurance,Financial And Insurance Activities,,,,,,,,,
insurance technology,Financial And Insurance Activities,,,,,,,,,
integrated maritime and logistics,TRANSPORTATION AND STORAGE,,,,,,,,,
it,"Professional, Scientific and Technical Activities",,,,,,,,,
it services,"Professional, Scientific and Technical Activities",,,,,,,,,
it services & it consulting,"Professional, Scientific and Technical Activities",,,,,,,,,
it services and it consulting,"Professional, Scientific and Technical Activities",,,,,,,,,
karaoke services,"ARTS, ENTERTAINMENT AND RECREATION",,,,,,,,,
law enforcement,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,,,,,,,,,
law practice,"Professional, Scientific and Technical Activities",,,,,,,,,
legal services,"Professional, Scientific and Technical Activities",,,,,,,,,
libraries,OTHER SERVICE ACTIVITIES,,,,,,,,,
life science,OTHER SERVICE ACTIVITIES,,,,,,,,,
life sciences,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,,,,,,,
lighting,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",,,,,,,,,
local government,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,,,,,,,,,
logistics,TRANSPORTATION AND STORAGE,,,,,,,,,
logistics and transportation,TRANSPORTATION AND STORAGE,,,,,,,,,
machinery manufacturing,Manufacturing,,,,,,,,,
maintenance and repair work,Manufacturing,,,,,,,,,
manufacturer,Manufacturing,,,,,,,,,
manufacturing,Manufacturing,,,,,,,,,
marine,Manufacturing,,,,,,,,,
materials,Manufacturing,,,,,,,,,
materials science,Manufacturing,,,,,,,,,
meat production,"AGRICULTURE, FORESTRY AND FISHING",,,,,,,,,
media,"ARTS, ENTERTAINMENT AND RECREATION",,,,,,,,,
media and communications,"ARTS, ENTERTAINMENT AND RECREATION",,,,,,,,,
media and publishing,"ARTS, ENTERTAINMENT AND RECREATION",,,,,,,,,
media production,Information and Communication,,,,,,,,,
medical devices,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,,,,,,,
medical equipment,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,,,,,,,
medical practices,Human Health and Social Work Activities,,,,,,,,,
medical_device,Manufacturing,,,,,,,,,
mining,MINING AND QUARRYING,,,,,,,,,
motor vehicle manufacturing,Manufacturing,,,,,,,,,
multimedia entertainment,"ARTS, ENTERTAINMENT AND RECREATION",,,,,,,,,
music,"ARTS, ENTERTAINMENT AND RECREATION",,,,,,,,,
music production/audio library,"ARTS, ENTERTAINMENT AND RECREATION",,,,,,,,,
news,INFORMATION AND COMMUNICATION,,,,,,,,,
non-profit,Administrative and Support Service Activities,,,,,,,,,
non-profit organization,Administrative and Support Service Activities,,,,,,,,,
non-profit organizations,Administrative and Support Service Activities,,,,,,,,,
nursery and greenhouse,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,,,,,,,,,
oil and gas,"Electricity, Gas, Steam and Air Conditioning Supply",,,,,,,,,
oil_and_gas,"Electricity, Gas, Steam and Air Conditioning Supply",,,,,,,,,
online food and grocery market,Accommodation and Food Service Activities,,,,,,,,,
online marketing,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,,,,,,,
online retail,Wholesale And Retail Trade,,,,,,,,,
other,Other,,,,,,,,,
outdoor equipment,Wholesale And Retail Trade,,,,,,,,,
packaging,Wholesale And Retail Trade,,,,,,,,,
paint manufacturing,Manufacturing,,,,,,,,,
paper,Manufacturing,,,,,,,,,
paper & packaging,Manufacturing,,,,,,,,,
paper and pulp,Manufacturing,,,,,,,,,
personal care,Wholesale And Retail Trade,,,,,,,,,
pet food,Wholesale And Retail Trade,,,,,,,,,
petroleum,Manufacturing,,,,,,,,,
pharmaceutical,Manufacturing,,,,,,,,,
pharmaceutical and biotechnology,Manufacturing,,,,,,,,,
pharmaceutical manufacturing,Manufacturing,,,,,,,,,
pharmaceuticals,Manufacturing,,,,,,,,,
plumbing and heating wholesaler,CONSTRUCTION,,,,,,,,,
post,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,,,,,,,,,
power and utilities,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",,,,,,,,,
power backup,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",,,,,,,,,
power generation,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",,,,,,,,,
power semiconductors,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",,,,,,,,,
professional services,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,,,,,,,
professional sports,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,,,,,,,
professional training and coaching,Education,,,,,,,,,
public administration,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,,,,,,,,,
public safety,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,,,,,,,,,
public transportation,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,,,,,,,,,
public utilities,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,,,,,,,,,
publishing,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,,,,,,,
real estate,Real Estate Activities,,,,,,,,,
renewable energy,"Electricity, Gas, Steam and Air Conditioning Supply",,,,,,,,,
restaurants,Accommodation and Food Service Activities,,,,,,,,,
retail,Wholesale And Retail Trade,,,,,,,,,
retail apparel and fashion,Wholesale and Retail Trade,,,,,,,,,
risk management,OTHER SERVICE ACTIVITIES,,,,,,,,,
"sales, marketing, and distribution","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,,,,,,,
security,Transportation and Storage,,,,,,,,,
self-storage,Transportation and Storage,,,,,,,,,
semiconductor manufacturing,Manufacturing,,,,,,,,,
shipping,Transportation and Storage,,,,,,,,,
shipping and logistics,Transportation and Storage,,,,,,,,,
software development,Information And Communication,,,,,,,,,
specialized uniform solutions,Other,,,,,,,,,
spectator sports,"Arts, Entertainment and Recreation",,,,,,,,,
sports,"Arts, Entertainment and Recreation",,,,,,,,,
sports and entertainment,"Arts, Entertainment and Recreation",,,,,,,,,
staffing and recruiting,Administrative and Support Service Activities,,,,,,,,,
steel production,Manufacturing,,,,,,,,,
superyacht,Manufacturing,,,,,,,,,
technology,Information And Communication,,,,,,,,,
technology and information,Information And Communication,,,,,,,,,
"technology, finance and administrative services",Information And Communication,,,,,,,,,
"technology, information and internet",Information And Communication,,,,,,,,,
"technology, information and internet (tii)",Information And Communication,,,,,,,,,
"technology, information, and internet",Information And Communication,,,,,,,,,
telecommunications,Information and Communication,,,,,,,,,
textiles,Manufacturing,,,,,,,,,
third-party logistics,Transportation and Storage,,,,,,,,,
tourism,Administrative and Support Service Activities,,,,,,,,,
trading and distribution,Transportation and Storage,,,,,,,,,
transportation,Transportation and Storage,,,,,,,,,
"transportation, logistics, supply chain and storage",Transportation and Storage,,,,,,,,,
travel,Administrative and Support Service Activities,,,,,,,,,
travel and tourism,Administrative and Support Service Activities,,,,,,,,,
travel arrangements,Administrative and Support Service Activities,,,,,,,,,
travel services,Administrative and Support Service Activities,,,,,,,,,
travel_and_hospitality,Administrative and Support Service Activities,,,,,,,,,
truck transportation,Transportation and Storage,,,,,,,,,
"tv, radio, and production","ARTS, ENTERTAINMENT AND RECREATION",,,,,,,,,
uniform rental and linen supply,OTHER SERVICE ACTIVITIES,,,,,,,,,
utilities,MANUFACTURING,,,,,,,,,
watchmaking,Manufacturing,,,,,,,,,
water,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",,,,,,,,,
water and wastewater services,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",,,,,,,,,
water management,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",,,,,,,,,
water treatment,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",,,,,,,,,
water utility,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",,,,,,,,,
"water, hygiene, and energy technologies and services","WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",,,,,,,,,
water_purification,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",,,,,,,,,
wellness,"Arts, Entertainment and Recreation",,,,,,,,,
wellness and fitness services,"Arts, Entertainment and Recreation",,,,,,,,,
wholesale,Wholesale and Retail Trade,,,,,,,,,
wind power,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",,,,,,,,,
wireless carrier,MANUFACTURING,,,,,,,,,
